,morph,,,,,,"바이오, 낸드플래쉬, "
98,"['코스닥', '폐지', '다', '구매', '대행업', '원천']",,,,,,
99,"['판매임', '동', '사', '미', '래성', '장', '동력', '중장기', '단기', '퍼스트제', '네']",,,,,,
100,"['종속', '위성체', '동부품', '수사업', '내수', '수요자', '방위', '사업청', '연구']",,,,,,
101,"['대한생명', '제고', '점유', '설계사', '우수']",,,,,,
102,"['인적분할', '신설', '법인', '상장', '종속', '가맹점']",,,,,,
103,"['부산은행', '신용', '정보', '캐피', '탈', '지주', '회사', '경남은행', '계열사', '경남은행', '자산', '운용', '자산', '운용사', '자산', '운용', '벤처']",,,,,,
104,"['한라홀딩스', '인적분할', '한국거', '래', '소', '제동', '조향', '전문', '회사임', '매출처', '현대자동', '차', '기아자동차', '현대모비스', '현대위', '매출액', '약차지']",,,,,,
105,"['속', '사업부문', '전자', '제품', '홈', '쇼핑', '기타', '전자', '제품']",,,,,,
106,"['발전', '강구', '발전', '강화', '풍력타', '구조물']",,,,,,
107,"['인적분할', '지주', '회사', '현', '재', '제', '일', '제', '당', '지분', '계열사', '문화그룹', '지주', '회사', '식품서비스', '생명', '공학', '엔터테인', '먼트', '사업군']",,,,,,
108,"['특화', '키', '움투', '자자산', '운용', '키움', '저축', '은행', '키', '움', '키', '움', '캐', '피탈', '종속', '우수', '브로커리지', '시장', '대형홀', '세일']",,,,,,
109,"['광고업', '한국거', '래소', '광고주의', '적', '우위']",,,,,,
110,"['자', '산관', '리공사', '지분', '주주', '포', '스', '코', '물적분', '수출', '입업', '비철', '금속', '자동차부품', '품목임']",,,,,,
111,"['기반', '석유', '화학', '최장', '침매', '최장', '성공리', '기술력', '부가', '가치', '창출', '가능', '다양']",,,,,,
112,"['한국거', '래', '소', '리모델링', '부', '산', '광복점', '울산점', '유통망']",,,,,,
113,"['인적분할', '상장', '부가', '가치', '소재', '나이론원', '사', '무사업', '다양', '스판', '덱', '스', '부가', '가치', '지배력']",,,,,,
114,"['현대자동차', '다양', '차량', '부', '문', '개척전차', '수', '주']",,,,,,
115,"['대림산업', '등기일', '인적분할', '상장', '종속', '오산랜드마', '크', '현지법인', '아크로', '서울포레스', '트']",,,,,,
116,"['성장', '지주', '회사', '한국조선해양', '운반선', '운반선', '지배력', '운반선', '고효율', '노후선', '창출']",,,,,,
117,"['보험업', '보험업', '대', '신용', '평가', '의신용', '등급', '점유', '지배력']",,,,,,
118,"['맥주사업', '중', '대', '한민국', '진', '시장']",,,,,,
119,"['한화그룹', '지주', '회사', '한화생', '명', '한화에어로', '스', '한화케미칼', '계열사', '지분', '해체사업', '유도무기', '전문']",,,,,,
120,"['원자력발', '전소', '수화력', '유일', '원자', '비전', '금상', '수상', '협', '회', '개척상', '수상']",,,,,,
121,"['전문회사', '해상화물', '산', '업', '기간', '크', '자회', '사', '사외', '역', '운영방안', '구축']",,,,,,
122,"['도소매', '업관', '광호', '텔업', '세계', '센트럴시', '티', '신세계동', '대구복합', '세계', '터', '셔날', '까사미아', '서울고속', '버스터미널', '종속']",,,,,,
123,"['자재군', '소재군', '재료군', '패션군', '사업군', '자재군', '더', '블', '커버용', '이미드필름']",,,,,,
124,"['계열사', '부', '천', '상', '우', '미국법인']",,,,,,
125,"['한화에어', '로스페이스', '가스터', '칩마', '방산', '산업', '수요자']",,,,,,
126,"['상표', '물적', '지주', '존속법', '라홀딩스', '신설법', '라코리', '아', '라홀딩스', '지주', '경영자문']",,,,,,
127,"['자동차부품', '사업부문', '공작', '열관리', '압', '축기', '협동로봇']",,,,,,
128,"['공정', '거래', '법상', '지주', '사업부문', '건설사업부문', '효성중', '공업', '화', '학', '연결대상', '종속', '효', '성', '공덕경', '우', '효성굿스프링스', '캐피', '탈', '마', '금', '고']",,,,,,
129,"['헬스', '어', '헬스케어', '전문', '바이오사이언스', '바', '이오사업', '천연물관', '절염', '우수', '시장', '점유']",,,,,,
130,"['삼성정밀화', '학', '롯데정밀화', '학', '롯데그룹', '주', '요', '학', '메셀로스', '헤셀로스', '애니코', '트', '일반', '가성소', '유록스', '스페셜티', '신성장']",,,,,,
131,"['한국케이', '블', '수입원', '일렉트릭', '엠트론', '아이앤디사', '업부문']",,,,,,
132,"['영원무', '역홀딩스', '아웃', '도어', '정상', '방글', '라데', '시', '경']",,,,,,
133,"['한국거', '래', '소', '임대업', '관', '광숙', '박업', '운반기', '계산업', '경기']",,,,,,
134,"['동', '사', '포함총', '고압케이블', '케', '이블', '우수', '신뢰도', '제품력', '현존', '고압케이블']",,,,,,
135,"['전문', '화력', '송변전', '신재생', '너지', '한', '국', '지', '역난', '방열원', '단', '열병합', '자가', '유지', '관리', '가스터', '다양', '스', '팀']",,,,,,
136,"['현대그린푸드', '상장', '다양', '포인트제', '출점', '출점', '출점']",,,,,,
137,"['대한비타민산업', '지주', '대', '웅', '한', '올']",,,,,,
138,"['한국거', '래', '소', '냉매가스', '반도', '체용', '유일', '업체임', '유한', '종속', '후', '성', '기업임']",,,,,,
139,"['계측', '자동', '자동', '그린에너지', '안전', '산업임']",,,,,,
140,"['독신', '세대', '편리', '다양', '업소', '다품종', '업소', '힘']",,,,,,
141,"['상', '점유', '제품', '건면', '배홍동', '포', '테', '토', '칩', '미니짜파링', '제품']",,,,,,
142,"['아시아나항공', '공사', '전문', '아시아나항공', '물']",,,,,,
143,"['현대산업개발', '현대산업개발', '운영업', '발주처']",,,,,,
144,"['한국거', '래', '소', '전문', '연포', '장재', '알루미늄박', '페', '트', '유리병', '완성품', '생활']",,,,,,
145,"['기일', '프앤에프', '프앤', '프홀딩스', '인적분할', '상표', '수입원', '종속']",,,,,,
146,"['주업', '한국타', '이', '어', '인적분할', '한국타', '이', '어', '한국타', '이', '어앤테', '크놀로지', '법인이', '수', '익원', '종속', '한국아트라스비엑', '스', '한국타', '이', '어앤테크', '놀로지', '경영자', '문용역', '이', '룸']",,,,,,
147,"['인적분할', '종속', '종속', '한', '올', '임팩', '타', '민', '다양', '강화']",,,,,,
148,"['강', '관', '봉형강', '경기', '경영', '다양', '신시장', '부가', '가치']",,,,,,
149,"['셀파워', '디지털이노베이션', '제품', '부품', '동박', '섬', '유', '동박', '종속', '두산중공', '업', '두산밥캣', '두산퓨얼셀', '두산메카텍']",,,,,,
150,"['금호산', '업', '타', '이', '어', '현물', '출자', '영업양수도', '판매법인', '어']",,,,,,
151,"['연구', '개발', '전문', '전문', '연구', '개발', '연구', '코스맥스']",,,,,,
152,"['탄산', '롯데기업', '사업부문', '처음', '소매점']",,,,,,
153,"['해외', '해외', '사업본부', '점유', '크루', '즈', '항공', '다양', '특화', '재래', '활성', '임']",,,,,,
154,"['대림산업', '인', '물적', '순수지주', '집단명', '대', '이앤', '지주']",,,,,,
155,"['현대건설', '부', '벽제콘크리트', '아이에스동', '일신', '공사업', '활용']",,,,,,
156,"['부', '외품', '매매업', '위생', '용품', '매매업', '식품', '첨가물', '매매업', '백신', '필두', '약정도', '임']",,,,,,
157,"['기준일', '존속법', '종근', '당', '홀딩', '스', '와의약품', '인적분할', '거래', '소', '상장', '제네릭', '우수', '매출액', '연구', '자가', '면역', '질환', '치료제', '임상']",,,,,,
