,morph
40,"['x', 'x', '비철', '금속', 'x', 'x', 'x', 'x', 'x', '실시함', 'x', 'x', 'x', 'x', 'x', 'x', 'y', '비철', '금속', 'y', 'y', '철', '금속', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '기간', 'y', 'x', 'x', '중요', 'y', 'x', 'x']"
41,"['x', 'x', 'x', 'x', 'x', 'x', '위성체', 'x', 'x', 'x', '항공', '우주', 'x', 'x', 'y', 'x', 'x', '창출', '항공', '우주', 'y', 'x', 'x', 'y', 'y', '구조물', 'y', 'y', 'x', 'y', 'x', 'x', 'x', 'x', '기술력', 'x', 'x', '무인', 'y', 'y', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '극대', 'x']"
42,"['x', 'x', '지주', 'x', 'x', 'x', '밀접', 'x', '종속', 'x', 'x', 'x', 'x', 'x', 'x', '종속', 'y', 'y', 'x', 'x', '신용', '카드업', 'x', 'x', 'y', '종합금', '융', '자산', '운용', '자산', '운', '용', '글로', '벌', 'x', '자산', '운용업', 'x', '아', '캐', '피탈', '지분', 'x', 'x', 'x', 'x', 'y', 'x', 'y']"
43,"['중소기업자', 'x', 'x', 'x', 'x', 'x', '경제', '활동', 'x', '주목', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '중기', 'x', '노하', '우', 'y', '평가', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '종속', 'y', 'x', 'x', 'x', 'x', '캐', '피탈', 'x', '유상', '증자', 'x']"
44,"['x', '정보', '통신', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '고속인터넷', 'x', 'y', 'x', 'x', 'y', 'y', 'x', '창출', 'x', 'x', 'x', 'x', 'x', '금융', '위성', 'x', 'x', 'x']"
45,"['x', 'x', 'x', 'x', '공', '업', 'x', '한', '화케', '미칼', '한', '화큐셀앤드', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '석유', '화', '학', '산', '업', 'x', 'x', 'x', 'x', 'y', 'x', '그린에너지토털', 'x', 'y', 'y', 'y', 'x', 'x', 'y', '태', '양', '광', 'y', 'x', 'y', 'y', 'x', 'x', 'x', '제고', 'x', 'x', 'x', '한화갤러리아', '유', '통', 'x', '한화도시', 'x', '부동산개발', 'y', 'x', 'x']"
46,"['x', '석유', '화학', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '대', '산', '울산석유화', '학단지', 'x', '올레핀', 'x', 'x', 'y', '석유', '화학', 'x', 'x', 'x', 'y', 'x', 'x', '판매법인', 'x', 'x', 'y', 'x', '다양', 'x', 'y', 'x', '롯데첨단소', '재', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'y', 'x', 'x', '임']"
47,"['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '기', '구용', 'x', 'x', 'y', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', '열관리', 'y', 'x', '단일', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'y', 'x', 'x', '기술력', 'x', 'x']"
48,"['x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', '세노바', 'x', '솔리암', 'x', 'x', 'y', 'y', 'x', 'x', 'x', '뇌질환', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'y', 'x', 'x', 'x', 'y', 'y', 'y', 'x', 'x', '당기말', 'x', '현지법인', 'x', 'x', '종속', 'x', 'x']"
49,"['지주', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '종속', 'y', '현대중', '공업', '현대삼호중', '공업', '현대미포조', '선', '현', '대미포조선', '현대삼호중', '공업', '종속', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', '진', 'x', 'x', 'x']"
50,"['x', 'x', 'x', '전문', 'x', 'x', 'x', 'x', 'x', '고부가가치', 'y', 'x', 'x', '극집', 'x', 'x', '동박', 'y', 'y', 'y', 'x', 'y', 'x', 'y', 'y', 'y', 'y', 'y', 'x', 'x', 'y', 'y', 'y', 'x', 'x', 'y', 'x', 'y', 'y', 'x', 'x', 'x', '종속', 'x', 'x', '리', '스', 'x', '이', 'x']"
51,"['x', 'x', '계열사', 'x', '스', '마', '트홈', 'x', 'x', 'x', 'x', 'x', '영', '엘', '지', '헬리보', '진', '아인텔', '레', 'y', '미디어로', 'x', 'x', '종속', 'x', 'x', '별', 'x', 'y', 'x', 'y', 'y', 'x', '스마', '트홈', '기업인프라', 'x', 'y', 'y', '말기준', 'y', 'x', 'y', 'y', '초고속', 'x', 'x']"
52,"['x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', '물류업', 'x', '판', '매업', 'x', 'x', '현대자동차', 'x', '회사임', 'x', '매출액', 'x', 'x', 'x', 'y', '물류업', 'y', 'x', 'y', 'x', 'x', 'x', 'x', 'x', '지속', 'x', '경영지수', 'x', 'x', 'x', 'x', 'x']"
53,"['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '단일', 'y', 'x', 'x', 'x', 'y', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '미', '주', 'x', 'x', 'y', '현지', 'x']"
54,"['x', '유일', '내국인', 'x', '가능', 'x', '품격', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '하', '이', '원', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', '하늘길', 'x', 'x', 'y', 'x', '리', 'x', 'x', 'x', 'x', 'y', 'x', '하늘길', 'y', 'x']"
55,"['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '공기', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'y', '전문기업', 'y', '공기', 'y', 'y', 'x', 'x', 'x', 'y', '전기레인', 'y', 'y', 'x', 'x', '말레', '이시아', 'x', 'x', 'x', 'x', 'x', '동종', 'x', 'x', 'x', 'x']"
